,is_goal,x,y,shot_body_part,shot_type,play_pattern
44049,1,112.2,42.5,Left Foot,Open Play,From Free Kick
47872,1,106.6,49.8,Right Foot,Open Play,From Counter
47873,0,101.8,48.8,Right Foot,Open Play,From Corner
47874,0,93.2,38.0,Right Foot,Open Play,From Corner
47875,0,103.0,37.8,Right Foot,Open Play,From Counter
47876,0,105.0,26.9,Right Foot,Open Play,Regular Play
47877,0,97.5,45.4,Left Foot,Open Play,From Throw In
47878,0,87.9,32.1,Right Foot,Open Play,From Throw In
47879,0,90.7,32.5,Right Foot,Open Play,From Throw In
47880,1,108.6,40.9,Head,Open Play,From Goal Kick
47881,0,103.8,57.6,Right Foot,Open Play,Regular Play
47882,0,110.1,26.2,Right Foot,Open Play,Regular Play
47883,0,98.5,30.0,Right Foot,Open Play,Regular Play
47884,0,114.0,29.7,Left Foot,Open Play,Regular Play
47885,0,111.3,41.9,Head,Open Play,From Free Kick
47886,0,114.8,39.0,Head,Open Play,From Corner
47887,0,98.4,25.9,Right Foot,Open Play,From Corner
47888,0,106.4,35.6,Head,Open Play,Regular Play
47889,0,100.7,27.9,Right Foot,Free Kick,From Free Kick
47890,0,107.4,30.9,Left Foot,Open Play,From Counter
47891,0,96.1,36.6,Right Foot,Free Kick,From Free Kick
47892,0,94.6,29.2,Left Foot,Open Play,Regular Play
47893,0,104.8,54.9,Right Foot,Open Play,Regular Play
47894,0,100.6,51.6,Right Foot,Open Play,Regular Play
47895,0,105.8,55.1,Left Foot,Open Play,Regular Play
47896,0,102.5,38.5,Left Foot,Open Play,Regular Play
47897,0,90.7,37.2,Left Foot,Open Play,Regular Play
47898,0,109.1,41.8,Head,Open Play,Regular Play
47899,1,101.8,41.5,Left Foot,Open Play,Regular Play
51423,0,112.3,37.8,Head,Open Play,From Corner
51424,1,108.0,35.9,Right Foot,Open Play,From Corner
51425,0,95.1,59.1,Left Foot,Open Play,From Corner
51426,0,86.1,43.2,Right Foot,Open Play,From Throw In
51427,0,106.2,48.3,Left Foot,Open Play,From Corner
51428,0,112.8,31.2,Right Foot,Open Play,From Corner
51429,0,97.7,51.1,Left Foot,Open Play,From Corner
51430,0,102.6,31.8,Left Foot,Open Play,From Throw In
51431,0,109.0,52.0,Right Foot,Open Play,From Keeper
51432,0,97.1,20.1,Left Foot,Free Kick,From Free Kick
51433,0,108.8,54.4,Right Foot,Open Play,From Free Kick
51434,0,104.4,53.6,Left Foot,Open Play,From Free Kick
51435,0,108.2,52.0,Left Foot,Open Play,Regular Play
51436,0,113.4,38.3,Head,Open Play,From Corner
51437,0,104.2,45.1,Right Foot,Open Play,From Free Kick
51438,1,103.8,53.8,Left Foot,Open Play,Regular Play
51439,0,114.1,32.3,Head,Open Play,From Corner
51440,0,85.8,42.9,Left Foot,Open Play,From Keeper
54402,0,111.2,47.6,Right Foot,Open Play,From Kick Off
54403,0,108.2,41.5,Right Foot,Open Play,From Free Kick
54404,1,115.7,47.6,Head,Open Play,From Free Kick
54405,0,95.8,48.3,Right Foot,Open Play,Regular Play
54406,0,103.3,40.2,Left Foot,Open Play,Regular Play
54407,0,117.5,32.8,Right Foot,Open Play,From Throw In
54408,0,100.1,58.0,Right Foot,Open Play,From Throw In
54409,0,114.4,40.0,Other,Open Play,From Corner
54410,0,101.3,27.8,Right Foot,Open Play,From Free Kick
54411,0,104.7,36.2,Right Foot,Open Play,From Free Kick
54412,0,106.7,35.3,Head,Open Play,From Throw In
54413,0,111.7,38.8,Head,Open Play,From Free Kick
54414,0,111.8,44.8,Head,Open Play,From Throw In
54415,0,108.9,53.5,Right Foot,Open Play,From Throw In
54416,0,109.9,41.7,Right Foot,Open Play,Regular Play
54417,0,115.4,27.7,Left Foot,Open Play,Regular Play
54418,0,109.4,43.8,Head,Open Play,From Free Kick
54419,0,98.4,49.0,Left Foot,Open Play,Regular Play
54420,0,96.0,42.8,Right Foot,Open Play,From Free Kick
54421,0,107.5,40.8,Right Foot,Open Play,From Counter
54422,0,107.9,54.0,Right Foot,Open Play,From Counter
54423,0,92.2,33.4,Left Foot,Open Play,From Corner
54424,0,107.8,36.9,Head,Open Play,From Free Kick
54425,0,99.5,42.3,Right Foot,Open Play,Regular Play
54426,1,114.5,38.0,Right Foot,Open Play,Regular Play
54427,0,89.5,36.7,Right Foot,Open Play,From Corner
54428,0,107.7,36.5,Right Foot,Open Play,From Corner
54429,0,114.0,31.1,Right Foot,Open Play,From Corner
57732,0,119.5,47.9,Head,Open Play,From Free Kick
57733,0,99.4,31.1,Left Foot,Open Play,From Throw In
57734,0,95.1,43.7,Right Foot,Open Play,From Free Kick
57735,0,96.8,39.6,Left Foot,Open Play,From Corner
57736,0,96.5,22.6,Right Foot,Open Play,From Free Kick
57737,0,110.1,46.1,Head,Open Play,From Throw In
57738,0,104.8,55.5,Right Foot,Open Play,From Throw In
57739,0,104.2,54.6,Right Foot,Open Play,Regular Play
57740,0,106.9,17.2,Right Foot,Free Kick,From Free Kick
57741,0,114.8,36.2,Head,Open Play,Regular Play
57742,0,113.5,32.8,Left Foot,Open Play,Regular Play
57743,0,87.0,34.3,Left Foot,Open Play,From Corner
57744,0,105.0,32.8,Right Foot,Open Play,From Corner
57745,0,102.7,48.7,Left Foot,Open Play,From Corner
57746,0,109.8,49.7,Right Foot,Open Play,Regular Play
57747,0,100.6,35.5,Right Foot,Open Play,From Throw In
57748,1,106.1,25.6,Left Foot,Open Play,From Counter
57749,1,107.9,39.3,Right Foot,Open Play,From Free Kick
57750,0,100.0,59.3,Right Foot,Open Play,Regular Play
57751,0,104.3,31.8,Right Foot,Open Play,From Corner
57752,0,108.0,53.9,Right Foot,Open Play,From Counter
57753,0,109.9,56.9,Right Foot,Open Play,From Throw In
57754,0,111.3,36.8,Head,Open Play,From Corner
60686,0,94.7,43.3,Right Foot,Free Kick,From Free Kick
60687,0,115.1,31.6,Head,Open Play,From Corner
60688,0,114.2,40.8,Head,Open Play,Regular Play
60689,0,89.5,50.4,Left Foot,Open Play,From Keeper
60690,0,103.1,19.2,Left Foot,Open Play,From Counter
60691,1,107.3,29.7,Right Foot,Open Play,Regular Play
60692,0,108.2,31.7,Left Foot,Open Play,From Free Kick
60693,0,114.0,53.0,Left Foot,Open Play,Regular Play
60694,0,101.1,51.7,Right Foot,Open Play,Regular Play
60695,0,109.7,44.7,Head,Open Play,From Free Kick
60696,0,111.9,26.8,Left Foot,Open Play,Regular Play
60697,0,103.0,48.0,Left Foot,Open Play,From Throw In
60698,0,109.5,41.5,Head,Open Play,From Free Kick
60700,0,101.1,36.2,Right Foot,Open Play,From Free Kick
60701,0,99.4,57.3,Right Foot,Open Play,From Free Kick
60702,0,110.1,46.4,Head,Open Play,From Corner
60703,0,97.8,55.4,Right Foot,Open Play,From Counter
60704,0,91.2,38.2,Right Foot,Open Play,Regular Play
60705,0,104.7,31.0,Right Foot,Open Play,From Free Kick
60706,0,115.2,39.2,Right Foot,Open Play,From Goal Kick
60707,0,105.5,32.6,Right Foot,Open Play,Regular Play
60708,1,117.0,31.0,Left Foot,Open Play,From Keeper
60709,0,85.6,39.8,Left Foot,Open Play,From Free Kick
60710,0,103.7,32.1,Left Foot,Open Play,From Corner
60711,0,99.1,21.6,Right Foot,Free Kick,From Free Kick
63642,0,104.3,58.5,Right Foot,Open Play,From Goal Kick
63643,0,100.4,52.7,Left Foot,Open Play,From Throw In
63644,0,101.2,20.0,Right Foot,Open Play,Regular Play
63645,0,103.1,43.4,Head,Open Play,From Free Kick
63646,0,111.8,55.6,Right Foot,Open Play,From Throw In
63647,1,115.1,30.1,Left Foot,Open Play,Regular Play
63648,1,108.0,47.2,Left Foot,Open Play,Regular Play
63649,0,109.9,37.1,Right Foot,Open Play,Regular Play
63650,0,97.7,20.7,Left Foot,Open Play,Regular Play
63651,1,110.8,46.8,Right Foot,Open Play,From Keeper
63652,1,100.1,35.9,Right Foot,Open Play,From Free Kick
63653,0,118.0,55.9,Right Foot,Open Play,Regular Play
63654,1,109.0,44.0,Right Foot,Open Play,Regular Play
63655,1,115.7,39.6,Right Foot,Open Play,Regular Play
63656,0,86.5,67.1,Right Foot,Free Kick,From Free Kick
63657,0,95.4,20.6,Right Foot,Open Play,Regular Play
67266,0,112.3,36.0,Head,Open Play,From Corner
67267,0,95.4,51.7,Left Foot,Open Play,Regular Play
67268,0,111.0,48.3,Right Foot,Open Play,Regular Play
67269,0,100.2,46.0,Left Foot,Free Kick,From Free Kick
67270,0,99.1,33.3,Right Foot,Open Play,From Free Kick
67271,0,103.6,39.0,Right Foot,Open Play,From Throw In
67272,0,103.6,29.2,Left Foot,Open Play,From Kick Off
67273,0,112.4,47.7,Head,Open Play,From Free Kick
67274,0,106.7,28.5,Left Foot,Open Play,From Throw In
